crop,district,date,price,demand_index,source
Wheat,Nashik,2026-03-09,2576.42,0.89,mandi_simulated
Wheat,Pune,2026-03-09,2602.71,0.89,mandi_simulated
Wheat,Karnal,2026-03-09,2550.13,0.89,mandi_simulated
Wheat,Ludhiana,2026-03-09,2576.42,0.89,mandi_simulated
Wheat,Nagpur,2026-03-09,2681.58,0.89,mandi_simulated
Wheat,Ahmedabad,2026-03-09,2550.13,0.89,mandi_simulated
Wheat,Indore,2026-03-09,2550.13,0.89,mandi_simulated
Wheat,Jaipur,2026-03-09,2550.13,0.89,mandi_simulated
Wheat,Hyderabad,2026-03-09,2576.42,0.89,mandi_simulated
Wheat,Bengaluru,2026-03-09,2707.87,0.89,mandi_simulated
Wheat,Nashik,2026-03-10,2464.86,0.9,mandi_simulated
Wheat,Pune,2026-03-10,2490.01,0.9,mandi_simulated
Wheat,Karnal,2026-03-10,2439.71,0.9,mandi_simulated
Wheat,Ludhiana,2026-03-10,2464.86,0.9,mandi_simulated
Wheat,Nagpur,2026-03-10,2565.46,0.9,mandi_simulated
Wheat,Ahmedabad,2026-03-10,2439.71,0.9,mandi_simulated
Wheat,Indore,2026-03-10,2439.71,0.9,mandi_simulated
Wheat,Jaipur,2026-03-10,2439.71,0.9,mandi_simulated
Wheat,Hyderabad,2026-03-10,2464.86,0.9,mandi_simulated
Wheat,Bengaluru,2026-03-10,2590.62,0.9,mandi_simulated
Wheat,Nashik,2026-03-11,2530.0,0.91,mandi_simulated
Wheat,Pune,2026-03-11,2555.82,0.91,mandi_simulated
Wheat,Karnal,2026-03-11,2504.18,0.91,mandi_simulated
Wheat,Ludhiana,2026-03-11,2530.0,0.91,mandi_simulated
Wheat,Nagpur,2026-03-11,2633.27,0.91,mandi_simulated
Wheat,Ahmedabad,2026-03-11,2504.18,0.91,mandi_simulated
Wheat,Indore,2026-03-11,2504.18,0.91,mandi_simulated
Wheat,Jaipur,2026-03-11,2504.18,0.91,mandi_simulated
Wheat,Hyderabad,2026-03-11,2530.0,0.91,mandi_simulated
Wheat,Bengaluru,2026-03-11,2659.08,0.91,mandi_simulated
Wheat,Nashik,2026-03-12,2533.02,0.92,mandi_simulated
Wheat,Pune,2026-03-12,2558.87,0.92,mandi_simulated
Wheat,Karnal,2026-03-12,2507.17,0.92,mandi_simulated
Wheat,Ludhiana,2026-03-12,2533.02,0.92,mandi_simulated
Wheat,Nagpur,2026-03-12,2636.41,0.92,mandi_simulated
Wheat,Ahmedabad,2026-03-12,2507.17,0.92,mandi_simulated
Wheat,Indore,2026-03-12,2507.17,0.92,mandi_simulated
Wheat,Jaipur,2026-03-12,2507.17,0.92,mandi_simulated
Wheat,Hyderabad,2026-03-12,2533.02,0.92,mandi_simulated
Wheat,Bengaluru,2026-03-12,2662.26,0.92,mandi_simulated
Wheat,Nashik,2026-03-13,2653.45,0.93,mandi_simulated
Wheat,Pune,2026-03-13,2680.53,0.93,mandi_simulated
Wheat,Karnal,2026-03-13,2626.38,0.93,mandi_simulated
Wheat,Ludhiana,2026-03-13,2653.45,0.93,mandi_simulated
Wheat,Nagpur,2026-03-13,2761.76,0.93,mandi_simulated
Wheat,Ahmedabad,2026-03-13,2626.38,0.93,mandi_simulated
Wheat,Indore,2026-03-13,2626.38,0.93,mandi_simulated
Wheat,Jaipur,2026-03-13,2626.38,0.93,mandi_simulated
Wheat,Hyderabad,2026-03-13,2653.45,0.93,mandi_simulated
Wheat,Bengaluru,2026-03-13,2788.83,0.93,mandi_simulated
Wheat,Nashik,2026-03-14,2654.72,0.94,mandi_simulated
Wheat,Pune,2026-03-14,2681.81,0.94,mandi_simulated
Wheat,Karnal,2026-03-14,2627.63,0.94,mandi_simulated
Wheat,Ludhiana,2026-03-14,2654.72,0.94,mandi_simulated
Wheat,Nagpur,2026-03-14,2763.08,0.94,mandi_simulated
Wheat,Ahmedabad,2026-03-14,2627.63,0.94,mandi_simulated
Wheat,Indore,2026-03-14,2627.63,0.94,mandi_simulated
Wheat,Jaipur,2026-03-14,2627.63,0.94,mandi_simulated
Wheat,Hyderabad,2026-03-14,2654.72,0.94,mandi_simulated
Wheat,Bengaluru,2026-03-14,2790.17,0.94,mandi_simulated
Wheat,Nashik,2026-03-15,2713.45,0.95,mandi_simulated
Wheat,Pune,2026-03-15,2741.14,0.95,mandi_simulated
Wheat,Karnal,2026-03-15,2685.76,0.95,mandi_simulated
Wheat,Ludhiana,2026-03-15,2713.45,0.95,mandi_simulated
Wheat,Nagpur,2026-03-15,2824.21,0.95,mandi_simulated
Wheat,Ahmedabad,2026-03-15,2685.76,0.95,mandi_simulated
Wheat,Indore,2026-03-15,2685.76,0.95,mandi_simulated
